case_id,operation,classification,form,inputs_escaped,codepoints_left,codepoints_right,expected_output,actual_output,expected_bool,actual_bool,exception,combining_classes,observation,pass
c01_empty_nfc,normalize_text,success,NFC,form=NFC text=,,,"""""","""""",,,,,empty string unchanged under NFC,PASS
c02_ascii_all_forms,normalize_text,success,,text=Hello!,U+0048|U+0065|U+006C|U+006C|U+006F|U+0021,,"{""NFC"": ""Hello!"", ""NFD"": ""Hello!"", ""NFKC"": ""Hello!"", ""NFKD"": ""Hello!""}","{""NFC"": ""Hello!"", ""NFD"": ""Hello!"", ""NFKC"": ""Hello!"", ""NFKD"": ""Hello!""}",,,,,ascii unchanged under all four forms,PASS
c03_e_acute_decompose,normalize_text,success,NFD,form=NFD text=\xe9,U+00E9,,"""é""","""é""",,,,0,precomposed é decomposing under NFD,PASS
c04_e_acute_compose,normalize_text,success,NFC,form=NFC text=e\u0301,U+0065|U+0301,,"""é""","""é""",,,,"0,230",e + U+0301 composing under NFC,PASS
c05_angstrom_sign_nfc,normalize_text,success,NFC,form=NFC text=\u212b,U+212B,,"""Å""","""Å""",,,,0,angstrom sign normalizing to U+00C5 under NFC,PASS
c06_ring_a_decompose,normalize_text,success,NFD,form=NFD text=\xc5,U+00C5,,"""Å""","""Å""",,,,0,U+00C5 decomposing to A + U+030A under NFD,PASS
c07_ligature_ffi_canonical_distinct,canonical_equal,canonical_distinct,,left=\ufb03 right=ffi,U+FB03,U+0066|U+0066|U+0069,False,,False,False,,,ligature U+FB03 staying distinct from ffi under NFC,PASS
c08_ligature_ffi_compat_equal,compatibility_equal,compatibility_equal,,left=\ufb03 right=ffi,U+FB03,U+0066|U+0066|U+0069,True,,True,True,,,the same ligature becoming ffi under NFKC,PASS
c09_circled_one,normalize_text,success,NFKC,form=NFKC text=\u2460,U+2460,,"""1""","""1""",,,,0,circled digit one becoming 1 under NFKC,PASS
c10_roman_nine,normalize_text,success,NFKC,form=NFKC text=\u2168,U+2168,,"""IX""","""IX""",,,,0,roman numeral nine becoming IX under NFKC,PASS
c11_superscript_five,normalize_text,success,NFKC,form=NFKC text=\u2075,U+2075,,"""5""","""5""",,,,0,superscript five becoming 5 under NFKC,PASS
c12_fullwidth_a,normalize_text,success,NFKC,form=NFKC text=\uff21,U+FF21,,"""A""","""A""",,,,0,fullwidth Ａ becoming ascii A under NFKC,PASS
c13_hangul_decompose,normalize_text,success,NFD,form=NFD text=\uac00,U+AC00,,"""가""","""가""",,,,0,Hangul 가 decomposing to its exact jamo sequence under NFD,PASS
c14_hangul_compose,normalize_text,success,NFC,form=NFC text=\u1100\u1161,U+1100|U+1161,,"""가""","""가""",,,,"0,0",that jamo sequence composing back to 가 under NFC,PASS
c15_combining_reorder,normalize_text,success,NFD,form=NFD text=a\u0301\u0327,U+0061|U+0301|U+0327,,"""á̧""","""á̧""",,,,"0,230,202",combining marks with different classes reordering canonically,PASS
c16_combining_equal_class_stable,normalize_text,success,NFD,form=NFD text=x\u0300\u0301,U+0078|U+0300|U+0301,,"""x̀́""","""x̀́""",,,,"0,230,230",combining marks with the same class keeping their original relative order,PASS
c17_bytes_reject_normalize,normalize_text,invalid_text,NFC,form=NFC text=b'',,,,,,,InvalidTextError,,a bytes value being rejected instead of decoded,PASS
c18_embedded_nul,normalize_text,success,NFC,form=NFC text=a\x00b,U+0061|U+0000|U+0062,,"""a\u0000b""","""a\u0000b""",,,,"0,0,0",an embedded NUL remaining a normal code point,PASS
